BLDG 1,BLDG 2
3333.223066,611.5418528
3445.335621,634.0610923
3460.652273,645.1039569
3521.859383,656.0813944
3431.139066,656.2389978
3274.309799,620.8749314
3256.808137,613.3647655
3261.152145,611.3212551
3035.855948,559.4954598
2890.032124,527.5825475
2846.415235,518.5669743
2686.671219,484.406281
2458.462741,435.6183532
2238.711885,385.2680588
2297.942089,400.4742279
2322.528721,407.286538
2287.894344,401.3974545
2182.291148,380.8848444
2230.94558,396.2390668
2307.115055,416.5223863
2501.148147,460.8994193
2699.987166,505.445858
2753.81408,518.3172063
2878.74704,543.5978579
3066.358686,581.6781905
3270.34056,621.5219107
3299.052705,622.9288888
3560.620471,673.0338997
3755.331393,723.645521
3912.257565,749.9758469
3902.754293,741.5720831
3865.115012,728.8473492
3999.25724,752.6310269
3977.829013,745.5126218
3875.507548,721.4550713
3939.968462,732.7102979
3868.038005,715.1759887
3728.15984,679.0183795
3941.767968,719.4615044
4118.494236,753.122987
4125.05971,752.7341706
4089.586141,743.13233
4278.290927,783.8466087
4510.507648,833.710941
4659.345321,866.0504666
4864.601769,906.3445601
4816.448614,894.5577158
4841.296074,898.4274457
4801.481536,888.5730194
4624.940877,849.6368368
4504.855721,835.1763717
4430.580725,818.9438665
4138.040588,786.3089887
3959.308008,751.1524212
3756.839173,705.9502274
3656.205036,683.5892687
3604.029475,670.6925948
3498.567578,651.848411
3494.46158,652.9471316
3483.80972,652.2892773
3402.982403,634.6682761
3223.692161,586.0838952
3264.750691,590.8226077
3361.056445,609.9600635
3347.957681,607.0627442
3299.960877,596.3391776
3396.001139,609.4543748
3495.585161,634.1028989
3614.59629,661.6712499
3593.711714,659.4029826
3555.770924,653.4419722
3546.027665,652.8627071
3434.629094,630.3468199
3323.839387,606.591289
3233.669871,596.9693431
3279.916977,607.1755996
3111.47626,594.5717158
2946.390439,557.0624406
2838.804008,531.2333535
2660.814928,491.0036648
2496.783893,453.3450095
2434.441932,444.2152944
2430.783534,446.1268106
2429.46618,447.130153
2304.283137,419.520452
2112.440678,367.8391307
2088.272955,367.5566791
2203.849376,396.2167494
2317.084766,420.1641381
2275.80061,410.7302503
2342.160598,420.2734504
2376.972815,430.5793004
2483.956415,454.4716322
2594.177336,478.5680176
2593.1804,479.2053071
2554.362313,471.3948972
2546.346969,469.818751
2523.536125,464.8145906
2498.457686,465.911188
2597.090265,486.3797743
2475.2048,473.2141047
2457.253807,461.7946874
2385.51963,444.7437221
2243.367487,413.1013103
2232.016639,407.9719609
2289.013965,423.6511602
2226.361463,410.6418804
2176.878127,399.6451013
2102.081895,381.7006698
1893.214776,326.4725764
1977.73382,348.3083711
2130.625027,387.009706
2156.349569,391.8894032
2119.400984,382.5018875
2207.951092,396.8462859
2300.991927,418.8368702
2410.518488,443.4494337
2411.292949,444.4777555
2452.808262,453.4650895
2472.958558,457.7952694
2437.575178,450.45007
2389.395287,439.4496599
2315.90647,429.796032
2251.474264,415.4847333
2130.730099,401.2367024
2041.666879,376.0931348
1955.393155,356.4862653
1869.129434,337.9504985
1755.420947,311.9286063
1709.974388,306.7207584
1668.80174,299.5177853
1581.466173,281.1971343
1359.787336,233.0205336
1167.640274,182.6986343
1325.422279,220.4369902
1434.511855,249.1381717
1431.986839,251.7950197
1345.78526,233.8874528
1491.571762,264.1370077
1616.047184,293.8445513
1638.658535,300.5415503
1624.840022,298.8963132
1636.053111,302.4622105
1607.303708,297.583072
1583.904588,292.9202152
1539.621836,283.0889082
1417.564909,260.3800887
1438.026924,266.3506949
1419.423881,267.7101209
1411.731898,265.2920524
1358.175221,253.0086011
1309.368465,241.8381691
1284.735366,234.2219793
1238.138467,227.3864854
1266.99135,234.7246541
1241.776402,228.9684159
1133.140571,203.1922406
914.2132504,144.9780719
1032.606571,172.7555669
1126.750226,196.8303267
1145.054122,202.7929779
1134.058631,200.7566495
1270.657671,228.9348408
1380.723196,254.913236
1538.735716,289.722751
1547.682015,292.6134224
1530.404249,289.3540985
1600.650814,304.648435
1640.578704,313.8060707
1637.289442,312.2028356
1567.013818,300.6586368
1776.50977,346.0971633
1726.856373,334.1676789
1616.455035,306.9899208
1560.206962,292.552448
1447.14695,266.5600507
1237.356162,217.4607666
