m1,m2,m3
38.1406,-21.0365,31.8146,
40.3344,-22.2333,33.6533,
42.1506,-23.2223,35.1767,
42.209,-23.2682,35.2163,
41.8286,-23.0854,34.8812,
43.7944,-24.115,36.557,
46.2121,-25.3832,38.6167,
47.7639,-26.194,39.9408,
49.88,-27.3359,41.7224,
49.3705,-27.081,41.2804,
49.6211,-27.2249,41.4856,
49.1993,-27.0147,41.119,
47.3555,-26.0563,39.5426,
46.1682,-25.3375,38.5942,
45.3933,-24.9334,37.9325,
42.5155,-23.1676,35.6487,
40.6725,-22.1736,34.0967,
38.5548,-21.0776,32.2832,
37.5028,-20.5322,31.3829,
36.9501,-20.2567,30.9026,
35.8732,-19.6596,30.0064,
35.8415,-19.6262,29.9904,
35.7396,-19.5589,29.9127,
34.8966,-19.119,29.1931,
32.9738,-18.1959,27.4988,
33.3787,-18.4428,27.8209,
34.3728,-18.9773,28.6592,
34.2359,-18.9062,28.5422,
33.7339,-18.6464,28.1121,
34.6922,-19.2126,28.8864,
35.7471,-19.7384,29.8035,
36.9973,-20.3772,30.8799,
36.7922,-20.2508,30.7176,
36.4093,-20.0315,30.4036,
36.3163,-19.9699,30.3328,
35.1643,-19.3537,29.3592,
34.011,-18.7484,28.3768,
33.1263,-18.2018,27.6775,
33.6093,-18.4528,28.0906,
31.9869,-17.4016,26.8393,
30.2565,-16.5116,25.3539,
29.1211,-15.9393,24.3716,
27.2567,-14.9785,22.7722,
25.5354,-14.0961,21.2921,
24.9099,-13.732,20.7831,
24.8868,-13.6971,20.7784,
24.8802,-13.6827,20.78,
23.5728,-13.0031,19.6621,
21.5176,-12.0132,17.8519,
21.2931,-11.8541,17.6883,
22.5176,-12.4642,18.7533,
23.6945,-13.0847,19.7539,
23.2615,-12.8623,19.3819,
23.9263,-13.2509,19.9219,
24.3044,-13.4253,20.2599,
25.4233,-14.0045,21.2184,
26.5733,-14.6041,22.2004,
26.5676,-14.5939,22.2004,
26.1664,-14.379,21.8615,
26.0838,-14.3344,21.7919,
25.8457,-14.2105,21.5885,
25.6206,-14.0374,21.4328,
26.6436,-14.58,22.3003,
25.4471,-13.8419,21.3532,
25.218,-13.7861,21.1161,
24.4619,-13.4035,20.4629,
22.9756,-12.6334,19.1905,
22.8425,-12.5863,19.0621,
23.455,-12.8785,19.6031,
22.8052,-12.5339,19.052,
22.2879,-12.2657,18.6093,
21.4987,-11.8676,17.9264,
19.2669,-10.7841,15.9662,
20.1671,-11.2255,16.7542,
21.7914,-12.0281,18.1711,
22.0556,-12.1722,18.3926,
21.6629,-11.9784,18.0499,
22.5589,-12.4879,18.7871,
23.5387,-12.985,19.6332,
24.6851,-13.5771,20.616,
24.698,-13.5765,20.6317,
25.1306,-13.8028,21.0007,
25.3404,-13.9129,21.1795,
24.9734,-13.7182,20.8682,
24.4682,-13.4587,20.4341,
23.7371,-13.0233,19.8455,
23.0636,-12.6741,19.2691,
21.8715,-11.9496,18.3185,
20.9106,-11.4968,17.4665,
20.0064,-11.0316,16.6901,
19.1082,-10.5605,15.9248,
17.9155,-9.94831,14.8996,
17.4676,-9.67488,14.5435,
17.048,-9.44092,14.1952,
16.1412,-8.96148,13.4249,
13.8303,-7.75365,11.4524,
11.7808,-6.75315,9.65313,
13.444,-7.59446,11.0935,
14.6085,-8.1615,12.1161,
14.5999,-8.13005,12.1268,
13.7058,-7.65582,11.3683,
15.2177,-8.45804,12.6507,
16.5301,-9.12144,13.7856,
16.7757,-9.23471,14.0052,
16.6392,-9.15189,13.8963,
16.7624,-9.20669,14.0077,
16.4703,-9.04248,13.766,
16.2287,-8.91268,13.5622,
15.7658,-8.67263,13.1661,
14.5145,-7.98657,12.1196,
14.7363,-8.08955,12.3173,
14.5724,-7.95813,12.2075,
14.488,-7.9204,12.1314,
13.926,-7.63229,11.6483,
13.414,-7.36959,11.2083,
13.1446,-7.24798,10.9658,
12.6771,-6.97588,10.5852,
12.9839,-7.1271,10.8529,
