m1,m2,m3,m4,m5,m6,m7
131.169,60.0304,71.1383,30.3335,3.45816,-23.6647,29.6496,
132.703,60.7657,71.9372,30.675,3.4789,-23.9404,29.9823,
145.792,66.0079,79.7844,34.1649,4.7117,-26.9201,33.403,
155.437,70.3882,85.0489,36.3681,4.93031,-28.6394,35.5552,
160.082,72.6644,87.4173,37.3327,4.97769,-29.397,36.4956,
158.2,72.0444,86.156,36.7703,4.83018,-28.9596,35.9432,
158.39,72.2134,86.1767,36.7766,4.80205,-28.9726,35.9479,
162.701,74.1281,88.573,37.7972,4.93112,-29.7758,36.9454,
163.505,74.5261,88.9793,37.9735,4.94404,-29.9205,37.117,
162.044,73.8652,88.1792,37.6609,4.9258,-29.6913,36.8111,
152.276,70.2075,82.0681,34.8926,3.70763,-27.2729,34.0954,
152.219,70.2124,82.0063,34.8704,3.69505,-27.2528,34.0735,
155.686,71.4363,84.2495,35.6447,3.52028,-27.7061,34.8332,
158.166,72.407,85.7591,36.2963,3.61775,-28.1873,35.4723,
154.312,70.6374,83.6748,35.4624,3.57712,-27.5542,34.6575,
155.89,71.2485,84.6414,35.909,3.65419,-27.9021,35.0947,
151.721,69.3506,82.3702,35.0041,3.66999,-27.2378,34.2107,
148.417,67.8629,80.5546,34.2328,3.52596,-26.61,33.4569,
144.975,66.3151,78.6601,33.4393,3.44289,-25.983,32.682,
135.27,61.9936,73.276,31.1818,3.26077,-24.2405,30.4762,
126.77,58.1351,68.6353,29.2507,3.14613,-22.743,28.5909,
121.249,55.3703,65.8784,28.2246,3.35497,-22.0094,27.5927,
124.211,56.8022,67.4084,28.8988,3.5262,-22.593,28.2509,
125.282,57.5127,67.7695,29.0207,3.44088,-22.7001,28.3664,
124.314,57.1812,67.1326,28.7304,3.36069,-22.4739,28.0812,
119.3,54.9588,64.3411,27.5443,3.24298,-21.5586,26.9218,
123.346,56.4524,66.8939,28.6927,3.9058,-22.6128,28.0508,
129.669,59.3066,70.362,30.1052,4.01927,-23.687,29.4316,
131.268,60.1477,71.1205,30.3728,3.9891,-23.8795,29.6922,
126.607,58.2712,68.3357,29.1367,3.74662,-22.8892,28.4824,
126.924,58.4427,68.4811,29.1681,3.71848,-22.8922,28.5135,
125.951,58.0224,67.9288,28.9119,3.66192,-22.6724,28.2634,
127.595,58.7393,68.8554,29.2842,3.69567,-22.9432,28.6283,
126.017,58.0123,68.0044,28.9214,3.65658,-22.6482,28.2745,
124.637,57.6522,66.9849,28.386,3.06505,-22.0494,27.7473,
120.765,55.8359,64.9296,27.5529,3.00057,-21.4117,26.933,
116.282,53.541,62.7406,26.4769,2.65848,-20.4568,25.8828,
116.078,53.3038,62.774,26.5062,2.70026,-20.4553,25.914,
110.333,50.6801,59.6529,25.2348,2.63118,-19.4815,24.672,
109.223,50.1146,59.108,25.0388,2.65963,-19.3311,24.4816,
114.934,52.5854,62.3489,26.4476,2.88763,-20.4299,25.8604,
112.233,51.3824,60.8504,25.8188,2.77655,-19.9211,25.2459,
114.501,52.3827,62.118,26.3646,2.8261,-20.3337,25.7799,
116.925,53.4315,63.4939,26.9616,2.90255,-20.794,26.364,
117.148,53.4103,63.7374,27.1141,2.9778,-20.9236,26.5139,
110.017,49.9856,60.0313,25.7106,3.14667,-19.9377,25.1446,
112.84,51.1867,61.6531,26.4363,3.35279,-20.5857,25.8526,
112.234,51.187,61.0466,26.1599,3.22966,-20.4099,25.5771,
113.856,52.0159,61.8404,26.4798,3.19697,-20.665,25.8874,
116.136,53.0373,63.0987,27.0047,3.22508,-21.0694,26.3998,
119.696,54.2172,65.4784,28.1332,4.01011,-22.164,27.5105,
119.642,54.3582,65.2836,28.0028,3.89992,-22.0494,27.3806,
121.264,55.2835,65.98,28.2397,3.85651,-22.2229,27.6105,
120.397,54.9517,65.4452,27.9945,3.7916,-22.0239,27.37,
119.269,54.4672,64.8016,27.7126,3.73937,-21.7986,27.0942,
114.492,52.4106,62.0815,26.5449,3.56067,-20.8785,25.952,
115.768,52.9083,62.8601,26.8763,3.61655,-21.1303,26.2768,
120.297,54.6879,65.6089,28.0842,3.85462,-22.0823,27.4602,
120.068,54.931,65.1369,27.7605,3.13092,-21.6073,27.1367,
122.317,55.9025,66.4146,28.3184,3.19234,-22.0405,27.6822,
119.448,54.4625,64.9859,27.594,3.01527,-21.4131,26.9754,
113.802,51.9732,61.8292,26.2807,2.92464,-20.3859,25.6934,
113.387,51.6954,61.6916,26.2708,2.96174,-20.3767,25.6849,
113.805,51.7643,62.0406,26.4632,3.01445,-20.5261,25.8739,
105.812,48.1882,57.6242,24.6456,2.92318,-19.1524,24.0978,
100.663,45.8735,54.7895,23.468,2.81527,-18.2387,22.9472,
99.1093,45.1812,53.9281,23.1042,2.76878,-17.9371,22.5926,
93.3967,42.6456,50.7511,21.7713,2.65594,-16.8968,21.2909,
85.3262,39.0232,46.303,19.9123,2.53301,-15.4546,19.4761,
77.9799,35.5351,42.4448,18.3634,2.51606,-14.2657,17.9661,
81.1397,36.4753,44.6645,19.3579,3.23371,-15.2116,18.9498,
81.7207,36.8655,44.8551,19.4022,3.12951,-15.2576,18.988,
80.2625,36.3158,43.9467,18.9915,2.99877,-14.9307,18.5838,
76.4795,34.6395,41.8399,18.0912,2.85748,-14.2208,17.703,
77.9382,35.4118,42.5264,18.316,2.78337,-14.3643,17.9209,
80.5301,36.6209,43.9092,18.8529,2.77811,-14.7566,18.4448,
87.4995,39.7008,47.7987,20.4635,2.93907,-15.9917,20.0194,
94.5026,42.8569,51.6457,22.0509,3.10548,-17.2083,21.5718,
96.1136,43.7113,52.4022,22.3306,3.09117,-17.4119,21.8444,
100.673,45.6944,54.9791,23.4305,3.24837,-18.2776,22.9201,
107.452,48.6724,58.7794,25.0463,3.47071,-19.5469,24.5001,
114.841,51.9102,62.9312,26.8257,3.73484,-20.9532,26.2401,
115.936,52.3659,63.5705,27.1378,3.8114,-21.2233,26.545,
125.281,56.5178,68.7637,29.3618,4.11659,-22.9838,28.7188,
132.429,59.6084,72.8202,31.0067,4.27611,-24.242,30.3271,
137.954,62.0993,75.8548,32.3293,4.48615,-25.286,31.621,
137.564,61.9485,75.6155,32.2763,4.52136,-25.2818,31.5683,
136.139,61.351,74.7875,31.9603,4.50515,-25.0677,31.2581,
141.089,63.4803,77.6091,33.1962,4.7059,-26.0586,32.4664,
140.132,63.1401,76.9914,32.9417,4.6497,-25.8699,32.2161,
136.33,61.516,74.8141,32.0346,4.51711,-25.1723,31.3278,
138.764,62.5392,76.225,32.6573,4.62884,-25.6664,31.9374,
136.218,61.3974,74.8201,32.0869,4.60907,-25.2257,31.3812,
131.752,59.1771,72.5747,31.2396,4.6791,-24.5974,30.557,
139.237,62.5677,76.6693,32.9863,4.96383,-26.0268,32.263,
144.871,65.3729,79.4979,34.1497,4.95839,-26.9522,33.3939,
144.54,65.4771,79.0633,33.9353,4.81416,-26.7886,33.1799,
143.122,64.9141,78.2076,33.5806,4.73902,-26.5246,32.8313,
149.555,67.9094,81.6454,34.9933,4.82913,-27.6181,34.2101,
157.606,71.5954,86.0107,36.8012,4.98403,-29.0211,35.9759,
162.636,73.9579,88.6784,37.8917,5.03358,-29.8643,37.0398,
170.239,77.2159,93.0232,39.7653,5.30489,-31.349,38.8715,
168.346,76.4516,91.894,39.2897,5.21721,-30.9883,38.4049,
169.182,76.846,92.336,39.4825,5.23227,-31.1459,38.5927,
167.762,76.214,91.5484,39.1637,5.19475,-30.9064,38.2804,
161.459,73.4118,88.0468,37.7058,5.02468,-29.7794,36.8547,
155.723,71.5056,84.2173,35.8903,3.84384,-28.0656,35.0702,
153.128,70.3267,82.8013,35.3045,3.78692,-27.6099,34.4978,
143.224,65.6832,77.5411,32.9052,3.32155,-25.6261,32.1548,
137.072,62.8462,74.2255,31.5094,3.22972,-24.5212,30.7931,
130.089,59.6324,70.4569,29.9656,3.12356,-23.3216,29.2857,
126.787,58.035,68.7516,29.282,3.09369,-22.7824,28.619,
125.123,57.2068,67.9157,28.9618,3.15011,-22.5419,28.308,
121.565,55.5328,66.0322,28.1601,3.00996,-21.8789,27.5253,
121.592,55.4676,66.1241,28.1969,3.0027,-21.8766,27.563,
121.321,55.2986,66.0222,28.1497,3.0093,-21.8141,27.5187,
118.696,54.0156,64.68,27.6111,3.0185,-21.3835,26.9948,
112.951,51.1697,61.7813,26.5329,3.22254,-20.6189,25.9454,
114.281,51.8214,62.4599,26.8383,3.37901,-20.9225,26.2435,
117.228,53.3501,63.8777,27.4037,3.33743,-21.3754,26.7921,
116.598,53.1422,63.4559,27.2146,3.2716,-21.237,26.6054,
115.134,52.3803,62.754,26.9459,3.25219,-21.0392,26.3424,
119.912,53.9048,66.0072,28.4805,4.20169,-22.4746,27.8528,
123.32,55.4855,67.8346,29.2073,4.22348,-23.0211,28.5622,
127.488,57.3745,70.1136,30.1386,4.30819,-23.7387,29.4722,
126.657,57.043,69.6139,29.9043,4.2477,-23.5439,29.2428,
125.19,56.4408,68.7496,29.5153,4.16969,-23.2279,28.8622,
124.816,56.2862,68.5299,29.4088,4.14463,-23.1367,28.7582,
